,text,place,uri,collector,area
42283,"Που μένα τουν Αλή σι σένα τουν Καραλή ου γάϊδαρους που μ' έδουσις νέ λαλεί π' λαλεί. Για σαράντα πέντι, για διαβόλους σι παίρνει.",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/186225,"Καψάλης, Γεράσιμος",Αιτωλία
42291,Σαν ξεζεύουνδουλευτάδες τότες ζεύουν οι αγάδες,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/186218,"Καψάλης, Γεράσιμος",Κρήτη
42292,"Σαν σου βαστά τη γυναίκα σου ο καδής, που θα πας να κλαφθής;",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/209398,"Καψάλης, Γεράσιμος",Ήπειρος
42293,Σηκώθηκε ο βοιβόντας και πήγε στο ζαμπίτη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/186233,"Καψάλης, Γεράσιμος",Αχαΐα
42294,"Σκότωσέ μ' αγά, γ' αγιάσης",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/186202,"Καψάλης, Γεράσιμος",Ιωάννινα
42308,Το μανίκ' μακρύν εν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/209400,"Καψάλης, Γεράσιμος",Πόντος
42313,"Τού αγά έτον τό χαΐγ, εδέβα μ' άτο",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/186205,"Καψάλης, Γεράσιμος",Πόντος
42457,Εγού τα χρέη επλερούκα τσι χρειά ε νιέχου το Μέργικα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265173,"Κληρονόμου, Θ.",Λέσβος
45838,Άλλα πάσχει ο γάϊδαρος κι' άλλα ο γαϊδουργιάρης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198140,"Κορύλλος, Χρήστος Π.",Θεσπρωτία
46396,"Από μπροστά γαϊδουρίζει, κι από πίσω παπαδίζει",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214882,"Κορύλλος, Χρήστος Π.",Αχαΐα
46522,Αυγά και όχι πτερά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198138,"Κορύλλος, Χρήστος Π.",Ιωάννινα
49131,Κάποιον θα πάρ' ο διάβολος από τους δυο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198141,"Κορύλλος, Χρήστος Π.",Θεσπρωτία
49499,"Κουτός ο ραγιάς, κουτότερος ο αγάς, πάει το σαμάρι του μουλαργιού",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239450,"Κορύλλος, Χρήστος Π.",Κεφαλληνία
50705,Όποιος βιάζεται γηράσκει γρήγορα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198139,"Κορύλλος, Χρήστος Π.",Ιωάννινα
52386,Το κεφάλι πόχει το μυαλό είν 'ς το μύλο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239449,"Κορύλλος, Χρήστος Π.",Κεφαλληνία
53320,Αξίζει μια κακόνυφη για δέκα θυγατέρες,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/217643,"Κουκουλές, Αναστάσιος",Κεφαλληνία
53350,Δε δου πέφτει λόγος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/205890,"Κουκουλές, Αναστάσιος",Μικρά Ασία
53409,Ζη και τήζεται,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/171876,"Κουκουλές, Αναστάσιος",Λακωνία
53413,Η θυγατέρα μάλαμα κι η νύφη κακό μπάλωμα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/217644,"Κουκουλές, Αναστάσιος",Μακεδονία
53422,Θα πάρω το αίμα μου πίσω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/150363,"Κουκουλές, Αναστάσιος",Ήπειρος
53475,"Ούτε καλή, ούτε κακιά, ούτε πηλένια πεθερά",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/244208,"Κουκουλές, Αναστάσιος",Αχαΐα
53484,"Πεθερά, κρεμμύδι σάπιο, κάθε δάγκαμα και δάκρυο",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/244209,"Κουκουλές, Αναστάσιος",Θεσπρωτία
53551,"Άμα τσινάς το γάιδαρο, θ' ακούσης τις πορδές του",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198022,"Κουκουλές, Φαίδων",Νάξος
53558,"Αγέννητο ζευγάρι, μαύρο αλώνι",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198080,"Κουκουλές, Φαίδων",Κεφαλληνία
53574,Από δω πάν' κι άλλοι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214982,"Κουκουλές, Φαίδων",Θράκη
53575,Από δω πάν' κι οι άλλοι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214983,"Κουκουλές, Φαίδων",Θράκη
53576,Από τον γάμον έρχομαι κι αηλί την πείναν πόχω,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198011,"Κουκουλές, Φαίδων",Αμοργός
53578,Απόμεινε Γιώτα μοναχή,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198040,"Κουκουλές, Φαίδων",Αμοργός
53579,Απολύθηκ' ο πίρος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214979,"Κουκουλές, Φαίδων",Αρκαδία
53588,Αυτή σκέπασε το κεφάλι της,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248431,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53589,Αυτή σκεπάστηκε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248432,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53601,Αυτός τ' αγόρασε καβάλλα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198033,"Κουκουλές, Φαίδων",Αχαΐα
53602,Αυτός του δωκε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198035,"Κουκουλές, Φαίδων",Αχαΐα
53603,Αυτός ψώνισε καβαλλάρις,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198034,"Κουκουλές, Φαίδων",Αχαΐα
53606,Αυτουνού κλωτσούν τα μουλάρια μέσα του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214967,"Κουκουλές, Φαίδων",Αχαΐα
53608,Αφάντου μύλου διάλεστρα και φούρνον κωλοζώστην (δίδωσι),Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248436,"Κουκουλές, Φαίδων",Κάρπαθος
53609,Βάλ' του ρίγανη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239306,"Κουκουλές, Φαίδων",Σκύρος
53610,Βάλ'του αλάτι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197991,"Κουκουλές, Φαίδων",Σκύρος
53611,Βάλε του ρίγανη να μη βρωμήση,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239305,"Κουκουλές, Φαίδων",Θεσπρωτία
53614,Βαστάει το Θεό άπ' την ποδιά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197988,"Κουκουλές, Φαίδων",Αρκαδία
53616,Βγήκε ο γέρος στο κλωτσάτο και η γριά στο κωπελλάτο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198089,"Κουκουλές, Φαίδων",Ήπειρος
53617,"Βράζει η πορδή σου, και θαρρείς πως βράζει η δύναμή σου",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248437,"Κουκουλές, Φαίδων",Αμοργός
53619,Γελά με ξένο γέλοιο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214972,"Κουκουλές, Φαίδων",Κρήτη
53620,Γι' άdρας μου στα τσίβδαλα τσ' ιγώ στα στιβδαλίσματα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198083,"Κουκουλές, Φαίδων",Νάξος
53625,"Δέν είν' αβγό, μόν' η όρνιθα τό καμε",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198021,"Κουκουλές, Φαίδων",Εύβοια
53628,Δεν απόμεινε ποδάρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198032,"Κουκουλές, Φαίδων",Κρήτη
53629,Δεν βγήκε ακόμα από τ' αυγό και πετά στον ουρανό,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198082,"Κουκουλές, Φαίδων",Θεσπρωτία
53630,Δεν γλύτωσε ρουθούνι (Δεν έμεινε ρουθούνι),Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239354,"Κουκουλές, Φαίδων",Αρκαδία
53632,Δεν περνάει η μπογιά της,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239371,"Κουκουλές, Φαίδων",Αρκαδία
53637,Δουλεύει σαν το σκυλί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198041,"Κουκουλές, Φαίδων",Αρκαδία
53652,Έγινε μακός,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214978,"Κουκουλές, Φαίδων",Θράκη
53656,Έγινε σκνίπα στο μεθύσι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248422,"Κουκουλές, Φαίδων",Σκύρος
53658,Έγινε το βάλε βράσε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198042,"Κουκουλές, Φαίδων",Μακεδονία
53669,Έμαθα εις το γύρο και να δης !,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198020,"Κουκουλές, Φαίδων",Αχαΐα
53670,Έμεινε στα κρύα του λουτρού,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214973,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53671,Ένα ψωριάρικο πρόβατο ολόκληρο κοπάδι χαλνά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198025,"Κουκουλές, Φαίδων",Θράκη
53672,Έπιασε την αλεπού στο δόκανο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197985,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53675,Έφυγε άρμα βάρκα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198037,"Κουκουλές, Φαίδων",Αρκαδία
53680,"Έχει κι΄ ο μέρμηγκας χολή, έχει κι η μύιγα σπλήνα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198013,"Κουκουλές, Φαίδων",Μικρά Ασία
53681,Έχει τη δραγμή στα δόντια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198090,"Κουκουλές, Φαίδων",Ήπειρος
53686,"Εγώ βουλλώνω και πουλώ, και συ βλέπε κι' αγόραζε",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248455,"Κουκουλές, Φαίδων",Ρόδος
53690,Είδες ένα; Τόσον φθάνει. Μιά κλωστή τούς έχ' υφάνει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198014,"Κουκουλές, Φαίδων",Αχαΐα
53695,Είναι όλοι το πι και το φι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214987,"Κουκουλές, Φαίδων",Ήπειρος
53696,Είναι όλοι το πι και φι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214986,"Κουκουλές, Φαίδων",Ήπειρος
53697,Είναι σβάρνα στο μεθύσι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248442,"Κουκουλές, Φαίδων",Αρκαδία
53701,Είναι στα πράματα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248441,"Κουκουλές, Φαίδων",Αρκαδία
53705,Είναι φηλί κλειδί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214968,"Κουκουλές, Φαίδων",Μικρά Ασία
53710,"Εμ' κερατωμένος, εμ' δαρμένος",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214965,"Κουκουλές, Φαίδων",Κύπρος
53715,Ετούτος ο ανήφορος κατήφορο θα φέρη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198023,"Κουκουλές, Φαίδων",Μακεδονία
53716,Ευδαίμων ο μη δεθείς,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198091,"Κουκουλές, Φαίδων",Μικρά Ασία
53720,Ζη και ζένει (ή ζένεται),Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198030,"Κουκουλές, Φαίδων",Νάξος
53721,Ζη και ζώνεται,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198029,"Κουκουλές, Φαίδων",Λακωνία
53722,Η αλεπού στ' απότρυγα σφεντόνε έπλεκε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198084,"Κουκουλές, Φαίδων",Λακωνία
53724,Η ζωή του κρέμεται από μια μπαμπακερή κλωστή,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214974,"Κουκουλές, Φαίδων",Αρκαδία
53725,Η ημέρα του φάνηκε χρόνος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197994,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53731,Ήρθε ο κόμπος στο χτένι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214975,"Κουκουλές, Φαίδων",Αρκαδία
53733,Θα σ' παίξου τα μαντήλια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239350,"Κουκουλές, Φαίδων",Σκύρος
53734,Θα σου κόψω μύτη κι αφτία,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198031,"Κουκουλές, Φαίδων",Αρκαδία
53740,Κάνει το άσπρο μαύρο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198024,"Κουκουλές, Φαίδων",Αρκαδία
53750,Κατά τα σκατά και το φτυάρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248433,"Κουκουλές, Φαίδων",Εύβοια
53751,Κι' οι μύξες τ' νεύρα γινήκαν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239301,"Κουκουλές, Φαίδων",Εύβοια
53766,Μεθεί μιά φορά το χρόνο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239349,"Κουκουλές, Φαίδων",Ήπειρος
53767,Μεθυσμένος ως τα γόνατα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239344,"Κουκουλές, Φαίδων",Κρήτη
53770,Μπερδεύει η γλώσσα του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198028,"Κουκουλές, Φαίδων",Θράκη
53771,Μπήκε ή τον έβαλε στο σακκί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248434,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53772,Να μου τρυπάς τη μύτη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239352,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53774,Να το κρεμάσης σκουλαρίκι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239368,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53777,Νάταν η θάλασσα κρασί και τα καράβια κούπες,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239343,"Κουκουλές, Φαίδων",Θεσπρωτία
53785,Ο γάμος ο Μαγιάτικος πολλά κακαποδούδει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197987,"Κουκουλές, Φαίδων",Ρόδος
53789,Ο καθείς το καρύδι τ' μούσκο τ' απαντέχει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198087,"Κουκουλές, Φαίδων",Σκύρος
53790,Ο καιρός τα φέρνει και ο καιρός τα παίρνει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239328,"Κουκουλές, Φαίδων",Λακωνία
53793,Ο μαύρος κάνει λόγια,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239347,"Κουκουλές, Φαίδων",Κρήτη
53794,Ο πίσσης απτόμενος ου δύναται το μη χραίνεσθαι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214966,"Κουκουλές, Φαίδων",Κρήτη
53798,"Όγοιος θέλει να δείρη τη γυναίκα του, να πάρει χταπόδι η μασίτες",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198086,"Κουκουλές, Φαίδων",Μικρά Ασία
53800,Όλοι είστε από ένα παννί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198015,"Κουκουλές, Φαίδων",Μικρά Ασία
53801,Όλοι είστε ένα μίτωμα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198016,"Κουκουλές, Φαίδων",Λακωνία
53802,"Όποιος ανακατεύει τα πηλά, λασπώνεται",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/197986,"Κουκουλές, Φαίδων",Ιωάννινα
53808,"Όποιους θέλει τούμπανα, κάνει γάμον",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198010,"Κουκουλές, Φαίδων",Κύπρος
53814,"Όταν η γυναίκα δηλήση, βίλι βίλι το πάγει",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198092,"Κουκουλές, Φαίδων",Κρήτη
53815,Όταν τα πίνεις με τη μουχρούτα κ.τ.λ.,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198017,"Κουκουλές, Φαίδων",Εύβοια
53816,Όταν τα τρωγες με τη μουχρούτα κ.τ.λ.,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198018,"Κουκουλές, Φαίδων",Αρκαδία
53820,Παπούτσια να μπαλώσωμε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239360,"Κουκουλές, Φαίδων",Μακεδονία
53824,Πήγε σαν το σκυλί στ' αμπέλι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248456,"Κουκουλές, Φαίδων",Αρκαδία
53827,Πήρε τα παπουτσια του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248449,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53828,Πήρε το μάθημα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248444,"Κουκουλές, Φαίδων",Μακεδονία
53834,Ποιός διαλέγει τη λαγάρα παίρνει την παπάρα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198085,"Κουκουλές, Φαίδων",Εύβοια
53838,"Που πάρη χίλια πέρπυρα και κακοειδή γυναίκα, τα πέρπυρα πηγαίνουνε κι' η κακοειδή απομένει",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239327,"Κουκουλές, Φαίδων",Κρήτη
53839,Πρός τόν πρότερον επανίωμεν έμετον...,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198110,"Κουκουλές, Φαίδων",Αμοργός
53846,Σαν με ξαναδής γράψε με,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239363,"Κουκουλές, Φαίδων",Κύπρος
53849,Σηκώθηκε στο κλαρί,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214984,"Κουκουλές, Φαίδων",Αρκαδία
53858,Τα πήρε πλυμένα κι' άπλυτα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248454,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53861,Την έπαθε Χιώτικη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239369,"Κουκουλές, Φαίδων",Αρκαδία
53866,Την μύξα του κάνει δοξάρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239300,"Κουκουλές, Φαίδων",Αρκαδία
53868,Το 'κοψε κοτσάνι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214981,"Κουκουλές, Φαίδων",Αρκαδία
53870,Το 'σκασε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248446,"Κουκουλές, Φαίδων",Αχαΐα
53871,Το 'σκασε α λα Γαλλικά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248453,"Κουκουλές, Φαίδων",Νάξος
53872,Το 'σκασε κανόνι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248451,"Κουκουλές, Φαίδων",Αρκαδία
53874,Το βαλαν στα παννιά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248447,"Κουκουλές, Φαίδων",Θράκη
53875,Το βαλε στον μπότζο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239355,"Κουκουλές, Φαίδων",Ιωάννινα
53876,Το γύρευα στον ουρανό και το 'βρα στη γη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198026,"Κουκουλές, Φαίδων",Λακωνία
53878,Το κοψε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214980,"Κουκουλές, Φαίδων",Μικρά Ασία
53880,Το κοψε γελέκι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239362,"Κουκουλές, Φαίδων",Αχαΐα
53896,Το χει στην από πάνω σκάλα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248443,"Κουκουλές, Φαίδων",Αχαΐα
53898,Τον Αράπη σκαμμάκιζε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198019,"Κουκουλές, Φαίδων",Σκύρος
53901,Τον έκαναν σουργούνη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248428,"Κουκουλές, Φαίδων",Αρκαδία
53902,Τον έπιασε ο δραγάτης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/214977,"Κουκουλές, Φαίδων",Αχαΐα
53903,Τον έστρωσα στο ξύλο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239308,"Κουκουλές, Φαίδων",Ήπειρος
53904,Τον εβούλωσε για καλά,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198038,"Κουκουλές, Φαίδων",Αρκαδία
53906,Τον κουρδίζουν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239364,"Κουκουλές, Φαίδων",Ήπειρος
53912,Του δωκα έν' αλλάϊ!,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198039,"Κουκουλές, Φαίδων",Αμοργός
53913,Του δωκε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/198036,"Κουκουλές, Φαίδων",Μικρά Ασία
53914,Του δωκε τα παπουτσια στο χέρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248450,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53915,Του δωκε το παννί του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248448,"Κουκουλές, Φαίδων",Αρκαδία
53920,"Του τα 'πε, με το νυ και με το σίγμα",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239365,"Κουκουλές, Φαίδων",Αχαΐα
53923,Τού δωκε τη μύτη στο χέρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239353,"Κουκουλές, Φαίδων",Αρκαδία
53924,Τσακίστηκε η μύτη του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/239351,"Κουκουλές, Φαίδων",Ανατολική Θράκη
53925,Φιλούσε κατουρημένες ποδιές,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/248445,"Κουκουλές, Φαίδων",Λακωνία
53930,Ακριβός θαρρεί κερδαίνει τα φυρά και δεν τα νοιώνει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/150421,"Κουμανούδης, Π.",Θράκη
53931,Αυτά τα λεν στη χούρχουρη του μύλου,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/284002,"Κουμανούδης, Π.",Αρκαδία
53932,Εγγόνι λιακόνι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/169039,"Κουμανούδης, Π.",Ιωάννινα
53933,Κάθε αγίου κ' η μνήμη του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/150415,"Κουμανούδης, Π.",Ανατολική Θράκη
53934,Κάθε πετεινός στο μπουκλούκι του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/169040,"Κουμανούδης, Π.",Αρκαδία
53935,Κάλλιο σκοτωμένος παρά λαβωμένος,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/273638,"Κουμανούδης, Π.",Ιωάννινα
53936,Κάλλιο το σημερινό αυγό παρά την αυρινή κόττα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265382,"Κουμανούδης, Π.",Κεφαλληνία
53937,Κάμ' ο λύκος παστιρμάν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/277441,"Κουμανούδης, Π.",Πόντος
53938,Κάμε του λαγού καλό να σε φάνε το Μαρτιάκο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/268570,"Κουμανούδης, Π.",Κάρπαθος
53939,Καθένας με την πήχην του,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/204672,"Κουμανούδης, Π.",Αμοργός
53940,Και κατής και νταβατζής,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/204682,"Κουμανούδης, Π.",Αμοργός
53941,Και τα μεταξωτά βρακιά πιδέξια σκέλια θέλουν,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/169043,"Κουμανούδης, Π.",Μικρά Ασία
53942,"Και το κρασί τον γέροντα, γρόσια το παληκάρι",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/273636,"Κουμανούδης, Π.",Επτάνησος
53943,Και του ποντικού την ουράν αν πατήσης θα γυρίση να σε δαγκάση,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265359,"Κουμανούδης, Π.",Αμοργός
53944,Καλόμαθ' η γριά στο μέλι και θέλει και το κουβέλι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/169032,"Κουμανούδης, Π.",Αρκαδία
53945,Καλόμαθες κακόμαθες,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/204683,"Κουμανούδης, Π.",Ιωάννινα
53946,Κατά το κεφάλι κι ο μπαρμπέρης,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/204684,"Κουμανούδης, Π.",Θεσπρωτία
53947,Κατά το σκοπό σέρν' η Μάρω το χορό,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/204685,"Κουμανούδης, Π.",Κρήτη
53948,Κατά τον κώλο κ' η πορδιές,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/204686,"Κουμανούδης, Π.",Εύβοια
53949,Κουκκάκι και κουκκάκι γεμίζ' η γριά το καλαθάκι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/169029,"Κουμανούδης, Π.",Αρκαδία
53950,Κουτσαίνει η γίδα απ' το κέρατον,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/271820,"Κουμανούδης, Π.",Κάρπαθος
53951,Κύλισε το ροΐ κ' ηύρε το πούμα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/150443,"Κουμανούδης, Π.",Λακωνία
53952,"Κωφός δεν ακούει, τα ταιριάζει",Άδηλου τόπου,http://hdl.handle.net/20.500.11853/273635,"Κουμανούδης, Π.",Θεσπρωτία
53953,Νερό τρεχούμενο κοιλιά σπασμένη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/286134,"Κουμανούδης, Π.",Κεφαλληνία
53954,Νύφη στον παστον πόρδω έρριξε πιε και συ γαμπρέ και χαιρέτησε,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265370,"Κουμανούδης, Π.",Μακεδονία
53955,Ο Θεός να σε φυλάγη από νιό πραγματευτή κι' από γριά ρουφιάνα,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/265373,"Κουμανούδης, Π.",Ανατολική Θράκη
53956,Ο Κάρολος καρύδια τρώγει,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/269896,"Κουμανούδης, Π.",Ανατολική Θράκη
53957,Ο κουτσός με τόνα πόδι που πηδάει και πάγ' στην Πόλη,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/271821,"Κουμανούδης, Π.",Ήπειρος
53958,Ο μουρλός τον παλαβόν σαν τα μάτια του τα δυο,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/284004,"Κουμανούδης, Π.",Ήπειρος
53959,Ο μπροσθινός τού πισινού γεφύρι,Άδηλου τόπου,http://hdl.handle.net/20.500.11853/169041,"Κουμανούδης, Π.",Κεφαλληνία
