,text,place,uri,collector,area,lat,lon
106168,Φκειάνομε καλυβάκια,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204323,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
74249,Απόστολος παρήγορος χασάπικης ειρήνης,Ήπειρος,http://hdl.handle.net/20.500.11853/181673,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
4616,Τούρθε σαν της κουκουβάγιας το πουλί,Ήπειρος,http://hdl.handle.net/20.500.11853/271841,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
81624,Ξύλα κούτσουρα δαυλιά καϋμένα,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/289177,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671
74380,Δεν αξίζει ο κόπος,Ήπειρος,http://hdl.handle.net/20.500.11853/213007,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
89912,Το αβκόν αβκόν τσακκίζει,"Ήπειρος, Τσαμαντάς",http://hdl.handle.net/20.500.11853/195850,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671
105985,Ο Χριστός πρώτα ευλόγησε τα γένεια του κ' ύστερα τον άλλον κόσμον,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168476,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
8704,Το γουρουνάσκ' κρασάσκ' δε γένεται,Ήπειρος,http://hdl.handle.net/20.500.11853/167081,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
8386,Κάλλια Καλογιάνν' παρά Κακογιάνν',Ήπειρος,http://hdl.handle.net/20.500.11853/203519,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
105946,Να τον φυσήης πέφτει,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256604,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
74132,Αλλού το όνειρο κι αλλού το θάμμα,Ήπειρος,http://hdl.handle.net/20.500.11853/152921,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
92698,Όλα τά 'χ΄ η Φατιμέ ο φερετζές τής λείπει,"Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/276988,"Οικονομίδης, Δημήτριος Β.",Ήπειρος,37.9982534,23.7378671
7722,"Τι να σ΄ θυμθώ, κρουμδάκι μ΄ που κάθι χαψιά κί δάκρυ",Ήπειρος,http://hdl.handle.net/20.500.11853/168975,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671
92693,Όλα τά 'χ' η Τζίκα ο φερετζές τής λείπει,"Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/276986,"Οικονομίδης, Δημήτριος Β.",Ήπειρος,37.9982534,23.7378671
105013,"Σ' αγαπώ κυρά μ΄που κλάνεις, αλλά συ το παρακάνεις","Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/248521,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
93845,Το μ'σιακό το βόδ' το τρώει ο λύκος,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/282686,"Παπάς, Δ. Α.",Ήπειρος,37.9982534,23.7378671
7627,"Κοντή γυναίκα πέρδικα, ψηλή χαραμουντάνα, ψηλός άντρας απόστολους, κοντός πομπή και γιάννα",Ήπειρος,http://hdl.handle.net/20.500.11853/204651,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671
87128,Όσο κι αν ξεπέση το βουβάλι πάντα το τομάρι του αξίζ ένα βόϊδι,Ήπειρος,http://hdl.handle.net/20.500.11853/289086,"Νεστορίδης, Κ.",Ήπειρος,37.9982534,23.7378671
74686,Θηβαίοι κι Αθηναίοι και κακοί Μυτιληναίοι άλλα λένε το βράδι κι άλλα κάνουν το πρωΐ,Ήπειρος,http://hdl.handle.net/20.500.11853/152907,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
8181,Αι γυναίκες μακρυά μαλλιά κ' ολίγη γνώση,Ήπειρος,http://hdl.handle.net/20.500.11853/203502,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
7674,Όσα ξέρ' ου νκουκύρς δεν τα ξέρ' ου κόσμος όλους,Ήπειρος,http://hdl.handle.net/20.500.11853/286128,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671
106113,Το πάνουν ζιτνά,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204322,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
118699,Εις μόνον αναμάρτητος,Ήπειρος,http://hdl.handle.net/20.500.11853/159331,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671
74861,Όποιος έχει σειέται κι όπου δεν έχει ξυέται,Ήπειρος,http://hdl.handle.net/20.500.11853/181492,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
104975,Πέντε δέκα στη σακκούλα καλώς σ΄ ηύρα γυναικούλα,"Ήπειρος, Κόνιτσα, Βούρμπιανη",http://hdl.handle.net/20.500.11853/178282,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
106061,Στέκεται στ΄αγκάθι,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/157822,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
44958,Εχ' κώλου,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/273720,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
106161,Τρώει τ' πουλιού το γάλα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256592,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
106163,Τώρα είν το νερό ζεστό και το ποτάμ' σιγαλό,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256608,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
7708,Σι ξένου κρασί μη χύνς νιρό,Ήπειρος,http://hdl.handle.net/20.500.11853/204655,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671
64379,Περπατάει άμποτε και κάμποτε,"Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/256785,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671
104764,"Λαγαρίζω (ρ) καθαρίζω, θα καθαρίσ' η αίρ' από το σιτάρι","Ήπειρος, Κόνιτσα",http://hdl.handle.net/20.500.11853/198253,"Ρεμπέλης, Χαράλαμπος",Ήπειρος,37.9982534,23.7378671
105674,Απέθανα γελώντας,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/168422,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
111904,Για την τριχιά πά' η τζιούμα,Ήπειρος,http://hdl.handle.net/20.500.11853/204564,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671
74106,"Αγκομαχάει σαν το άτι, ή σαν σκύλος",Ήπειρος,http://hdl.handle.net/20.500.11853/153111,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
81680,Σιγουριά 'ς το Καρπενήσι 'ς τη λάσπη πολεμούν,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/256568,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671
75064,Τον αράπη θα λευκάνης κόπο και σαπούνι χάνεις,Ήπειρος,http://hdl.handle.net/20.500.11853/153003,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
74415,Δυο φοραίς οι γέροντες γένονται παιδιά,Ήπειρος,http://hdl.handle.net/20.500.11853/181749,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
4412,Έναν τον έπαιρνε το ποτάμι κι' άλλος του λεγε Στάσου να σε γαμήσω,Ήπειρος,http://hdl.handle.net/20.500.11853/256159,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
74073,Άντρας μου ςτα ρούμπαλα κ' εγώ 'ς τα πανηγύρια,Ήπειρος,http://hdl.handle.net/20.500.11853/256920,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
45156,Μια κούτ' κι άλλ' διάβα 'δω,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170466,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
74938,Πίσω την έχει την ουρά το δροσερό τ' απίδι,Ήπειρος,http://hdl.handle.net/20.500.11853/212971,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
4425,"Εκεί όπου δεν έβαλες, μην απλώνης",Ήπειρος,http://hdl.handle.net/20.500.11853/141282,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
4420,Εγεννήθηκε σε ξίσκεπο σπίτι,Ήπειρος,http://hdl.handle.net/20.500.11853/289266,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
104382,Τρείς μέρες το θάμα κι άλλες τρείς το παραθάμα,Ήπειρος,http://hdl.handle.net/20.500.11853/173383,"Ρέκας, Β. Δ.",Ήπειρος,37.9982534,23.7378671
89918,Το κάνω παίπαιλη,"Ήπειρος, Τσαμαντάς",http://hdl.handle.net/20.500.11853/247825,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671
119321,"Ανάβαλες το φίλο, πάρει και κομμάτι ξύλο",Ήπειρος,http://hdl.handle.net/20.500.11853/197808,"Ψάλτης, Σταμάτιος Β.",Ήπειρος,37.9982534,23.7378671
4598,Το στάρι απ' το μύλο θα διαβή,Ήπειρος,http://hdl.handle.net/20.500.11853/284039,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
74982,Τα αυτά της αυτής,Ήπειρος,http://hdl.handle.net/20.500.11853/153006,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
94044,Τούρθε σαν τ' μπούφιο του πλι,Ήπειρος,http://hdl.handle.net/20.500.11853/284017,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671
8632,Πρώτα θα ιδούμε το γείτονα κ' ύστερα τον ήλιο,Ήπειρος,http://hdl.handle.net/20.500.11853/167124,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
102649,Ήλιος καμωμένος,Ήπειρος,http://hdl.handle.net/20.500.11853/172568,"Πολίτης, Νικ.",Ήπειρος,37.9982534,23.7378671
8705,Το γρόθο στο μαχαίρι,Ήπειρος,http://hdl.handle.net/20.500.11853/167140,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
45261,Όποιους έχ΄ γρόσια έχ΄ γλώσσα,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170351,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
106117,Το πήρε σβάρνα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256590,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
94072,Μας έκουψι μπουρανιές,Ήπειρος,http://hdl.handle.net/20.500.11853/206289,"Παπαγεωργίου, Σωτηρ. Π.",Ήπειρος,37.9982534,23.7378671
111923,Έχει δεύτερα μάτια,Ήπειρος,http://hdl.handle.net/20.500.11853/279764,"Σωφρόνιος, ηγούμενος Μονής Λιγγιστάδων",Ήπειρος,37.9982534,23.7378671
93990,Ο λύκος με μυρμήγκια δεν χορταίνει,Ήπειρος,http://hdl.handle.net/20.500.11853/281754,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671
105895,Λέγ' άρα μπάρα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/275331,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
45498,Τ' ς αλουνίζ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/148571,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
45200,Ξένα τα δαμάλια θ'κά μας τα μ'σκάρια,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/205442,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
64362,Πέθανε να σε πονώ και ζήσε για να σ' έχω,"Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/256791,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671
1257,Έδουκι κί πήρι,Ήπειρος,http://hdl.handle.net/20.500.11853/186275,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
44913,Ένας κούκκους άγ' ξ' δέ φέρ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170463,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
7618,Κάλλια θιούτκη ουργή πάρ' ανθρώπινη βουή,Ήπειρος,http://hdl.handle.net/20.500.11853/141791,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671
106114,Το παλιό το φόρεμα αψυχάει το καινούριο,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/256636,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
8644,Σαν το βόϊδι,Ήπειρος,http://hdl.handle.net/20.500.11853/141940,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
81676,Σ του λόγγου κατοικίας και ξύλα αγοράζης,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/204235,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671
104327,Μια βολά απ' τη βολά μου τσάκισαν τα πλευρά,Ήπειρος,http://hdl.handle.net/20.500.11853/157371,"Ρέκας, Β. Δ.",Ήπειρος,37.9982534,23.7378671
118689,"Έφαγε ένα δόξα πατρί, που θά το θυμάται γιά πάντα",Ήπειρος,http://hdl.handle.net/20.500.11853/173022,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671
74504,Έχει πίσσα κ' η παράδεισο,Ήπειρος,http://hdl.handle.net/20.500.11853/256839,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
118763,"Όποιος κάθεται στο βεζιάχι, εκείνος ξέρει πως πάει ο καπνός του μαγαζιού","Ήπειρος, Κούρεντα",http://hdl.handle.net/20.500.11853/290025,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671
8690,Ταγώγι ξυπνά τον αγωγιάτη,Ήπειρος,http://hdl.handle.net/20.500.11853/141945,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
74130,Αλλού ο παππάς κι αλλού τα ρούχα του,Ήπειρος,http://hdl.handle.net/20.500.11853/152931,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
8627,Πούθε είσαι κλωναράκι; Απ' εκείνο το δεντράκι,Ήπειρος,http://hdl.handle.net/20.500.11853/203490,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
81570,Κάθε ξύλον και τον καπνόν,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/289175,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671
81674,Ράχες ράχες η βροχή γένεια το κρασί,"Ήπειρος, Δρόβιανη",http://hdl.handle.net/20.500.11853/154148,"Μυστακίδης, Νικόλαος Γ.",Ήπειρος,37.9982534,23.7378671
63227,"Η γριά σαν εγαμήθη, έσφιχτομανταλώθη","Ήπειρος, Λοζέτσι",http://hdl.handle.net/20.500.11853/163802,"Λιουδάκη, Μαρία",Ήπειρος,37.9982534,23.7378671
74514,Εβγήκαν ή σκασμέναις σαν ακρίδες,Ήπειρος,http://hdl.handle.net/20.500.11853/153142,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
74609,Ερωτοίν την Φατιμέ πότε πιάνουν μπαϊράμι,Ήπειρος,http://hdl.handle.net/20.500.11853/256833,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
1450,Τα ήθελες κι τα ήθελα,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/228055,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
7659,Όντας (όταν) γηράζ' συ λύκους μασκαράς τουν σικλιών γίνιτι,Ήπειρος,http://hdl.handle.net/20.500.11853/169001,"Γαλδέμης, Αναστάσιος Δ.",Ήπειρος,37.9982534,23.7378671
8724,Τον ακάλεστο τον βαν' στον πάτο,Ήπειρος,http://hdl.handle.net/20.500.11853/142020,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
75114,Τρώει τα λόγια του,Ήπειρος,http://hdl.handle.net/20.500.11853/212988,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
118746,Νίπτομαι τας χείρας,Ήπειρος,http://hdl.handle.net/20.500.11853/286472,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671
4372,Αφορμή δεν είχαμε κι' ο Θεός μας την έστειλε,Ήπειρος,http://hdl.handle.net/20.500.11853/141291,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
74521,Εγώ 'μαι κ' η γαιδάρα μου και τρεία κουβέλια,Ήπειρος,http://hdl.handle.net/20.500.11853/153148,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
1172,Άνξι πορειά,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/244738,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
118721,Η σοφία νικάει σήμερα την αντρεία,Ήπειρος,http://hdl.handle.net/20.500.11853/159302,"Χρηστοβασίλης, Χ.",Ήπειρος,37.9982534,23.7378671
44972,Η καλή μέρα φαίνιτ' απού του πρωΐ,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170241,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
1505,Τρανάει ν άκρα τ,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/186355,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
106023,Πίστεψε τον Αλή και βάρ' τον Καραλή,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/204318,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
74496,Έφτασε εις του Θεού τ' αυτί,Ήπειρος,http://hdl.handle.net/20.500.11853/181524,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
8254,"Γριά γαμήσ' εγύρευε, τώρα τώρα το ήθελε",Ήπειρος,http://hdl.handle.net/20.500.11853/166985,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
74068,Άνθρωπος της ξαπλωσιάς και ντεμπελιάς,Ήπειρος,http://hdl.handle.net/20.500.11853/153043,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
74862,"Όποιος έχει τη μύγα, μυγιάζεται",Ήπειρος,http://hdl.handle.net/20.500.11853/285250,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
89859,Καλή μέρα χωργιά του,"Ήπειρος, Τσαμαντάς",http://hdl.handle.net/20.500.11853/195822,"Νίτσος, Νικόλαος",Ήπειρος,37.9982534,23.7378671
45614,Τρέχ' η μύτ' σ' γαμβρε! Τρέχ' απού του χ'μώνα. Σι ξέρου κι απου του καλουκαίρ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/289353,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
94066,Είναι η νήλα κατά ηλιού,Ήπειρος,http://hdl.handle.net/20.500.11853/286397,"Παπαγεωργίου, Σωτηρ. Π.",Ήπειρος,37.9982534,23.7378671
45179,Να ήταν η δ'λειά καλή δούλιυι κι ου δισπότ'ς,"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/170439,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
93933,Έχει ρούμπαλο στον κώλο,Ήπειρος,http://hdl.handle.net/20.500.11853/273644,"Παπαγεωργίου, Ιωάννης",Ήπειρος,37.9982534,23.7378671
4529,Ούδε με λύει ούδε με δένει,Ήπειρος,http://hdl.handle.net/20.500.11853/169311,"Βαξοβάνος, Λεωνίδας",Ήπειρος,37.9982534,23.7378671
74881,Όποιος πνίγεται από τά μαλλιά του πιάνεται,Ήπειρος,http://hdl.handle.net/20.500.11853/256871,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
106145,Του γένομαι αγκούσα,"Ήπειρος, Ζαγόρι, Βίτσα",http://hdl.handle.net/20.500.11853/157807,"Σάρρος, Δημήτριος Μ.",Ήπειρος,37.9982534,23.7378671
74471,Ένας μήνας θρέφει τσ΄ ένδεκα κ΄ οι ένδεκα τον ένα,Ήπειρος,http://hdl.handle.net/20.500.11853/181510,"Μανούσος, Αντώνιος",Ήπειρος,37.9982534,23.7378671
18565,Όπ' ο Γιάννης και ο Κολιός,Ήπειρος,http://hdl.handle.net/20.500.11853/165786,"Ζηκίδης, Γεώργιος Δ.",Ήπειρος,37.9982534,23.7378671
1295,Ηύρις διάουλουν να γιλάις,"Ήπειρος, Ζαγόρι",http://hdl.handle.net/20.500.11853/186400,"Αναγνωστόπουλος, Γιώργος Π.",Ήπειρος,37.9982534,23.7378671
8509,Ο λύκος όταν γηράσ' γίνεται των σκυλιών μασκαράς,Ήπειρος,http://hdl.handle.net/20.500.11853/167049,"Γόνιος, Α.",Ήπειρος,37.9982534,23.7378671
45314,Ου καλός καλό δεν έχ',"Ήπειρος, Δολιανά",http://hdl.handle.net/20.500.11853/205345,"Κοντοπάνος, Α.",Ήπειρος,37.9982534,23.7378671
